name,city,country,latitude,longitude,type
M0SZT,,,53.0027,-2.1794,LEO Ground Station
DL4PD,,,50.75,6.216,LEO Ground Station
CGBSAT-VHF,,,52.834,6.379,LEO Ground Station
CGBSAT-UHF,,,52.834,6.379,LEO Ground Station
N5CNB-VHF,,,29.85469,-96.53481,LEO Ground Station
Alfeld,,,51.974275,9.865161,LEO Ground Station
M0EYT / 2E0NOG,,,50.77,-2.02,LEO Ground Station
Grove-UHF-01,,,42.314,-71.448,LEO Ground Station
BEEGND-1,,,52.073657,12.462608,LEO Ground Station
OM1LD -Needronix,,,48.033,17.387,LEO Ground Station
VK6SAT - UHF,,,-31.763,115.759,LEO Ground Station
SM0IFP,,,59.22,18.179,LEO Ground Station
SPUTNIX-R2ANF-VHF/UHF-stationary,,,55.693167,37.347033,LEO Ground Station
7J1AJH,,,34.9702,139.0936,LEO Ground Station
CWVRPi3uhf,,,38.353,-81.687,LEO Ground Station
W2MMD GCARC Clubhouse,,,39.716,-75.21,LEO Ground Station
Grove-UHF-02,,,42.314,-71.448,LEO Ground Station
VA3TZA,,,43.229,-79.759,LEO Ground Station
CU2ZG,,,37.7423198,-25.5565093,LEO Ground Station
EA5WA Pobla Llarga,,,39.104,-0.458,LEO Ground Station
Black Mensa Ground Station,,,48.267233,11.670682,LEO Ground Station
DS-1 (VHF),,,52.216,4.417,LEO Ground Station
52HancockSt,,,42.4557,-71.2279,LEO Ground Station
"SV2SQN Patras, GR Station",,,38.22223,21.74345,LEO Ground Station
Leonidio,,,37.1580041,22.8930827,LEO Ground Station
PE0SAT-11,,,51.721268,5.029968,LEO Ground Station
kc1fha,,,42.845241,-71.500635,LEO Ground Station
Timisoara - VHF QHA,,,45.7469,21.2125,LEO Ground Station
OZ1SKY,,,56.278,10.266,LEO Ground Station
W2GRK - UHF,,,40.641,-74.339,LEO Ground Station
lu1esy,,,-34.650915,-58.64452,LEO Ground Station
CT1ETE,,,41.4518,-8.2628,LEO Ground Station
VK2BYF-VHF,,,-34.85,150.6,LEO Ground Station
Um Alaish 4,,,29.1042,48.125,LEO Ground Station
k8zk,,,35.002496,-80.753271,LEO Ground Station
ZL2MST,,,-40.95972,175.6575,LEO Ground Station
CT7AFR,,,41.70158,-8.82569,LEO Ground Station
VK2BYF-UHF,,,-34.85,150.6,LEO Ground Station
VAUBAN-IEPER  ON7XX,,,50.849058,2.898784,LEO Ground Station
W6MSU UHF,,,38.054,-121.361,LEO Ground Station
Harwell,,,51.6,-1.291,LEO Ground Station
Dunchurch,,,52.342463,-1.290348,LEO Ground Station
PF_DE_UHF_X_DIPOLE,,,48.886,8.693,LEO Ground Station
Valpo WIRED Lab 1,,,41.462,-87.038,LEO Ground Station
SM0TGU - UHF,,,59.453,17.89,LEO Ground Station
DS-2 (UHF),,,52.2155,4.4174,LEO Ground Station
IU3IOK,,,45.605,12.243,LEO Ground Station
SM0KOT - VHF,,,59.273,17.788,LEO Ground Station
PF_DE_UHF_Yagi,,,48.886,8.693,LEO Ground Station
KJ6DZB Ppi4 Ketchup,,,37.8776,-122.2978,LEO Ground Station
VK3XN - VHF,,,-37.817,145.275,LEO Ground Station
KF5IDY RTL-SDR Egg 2m,,,32.95,-96.84,LEO Ground Station
DEOS_RALF,,,43.5649,1.4751,LEO Ground Station
CCERES Ground Station,,,48.807,2.229,LEO Ground Station
sp8ncg-rtl1,,,51.25,22.5,LEO Ground Station
"VA2WBT - Montréal, Canada",,,45.536682,-73.619774,LEO Ground Station
bbn,,,42.4557,-71.2279,LEO Ground Station
Campus Borsbeek,,,51.196177,4.491734,LEO Ground Station
BHDynamics,,,38.979762,-1.842076,LEO Ground Station
om3tps_home,,,49.01,18.29,LEO Ground Station
KE0RWZ-Mini-PC,,,37.867,-90.591,LEO Ground Station
Shed yagi,,,41.445,-81.961,LEO Ground Station
primoz,,,46.0531,14.3064,LEO Ground Station
ESOC UHF,,,49.872,8.622,LEO Ground Station
VK5ALG VHF,,,-34.864,138.635,LEO Ground Station
Silky Popcorn,,,53.13,-2.1,LEO Ground Station
Venables_Shed_UHF,,,52.66129,1.3232,LEO Ground Station
Harvard-Smithsonian Center for Astrophysics,,,42.382,-71.128,LEO Ground Station
F4GPM,,,49.267,1.053,LEO Ground Station
PE2BZ-437,,,52.0,4.2,LEO Ground Station
PE2BZ-Odroid-L-band and  / or S-band,,,52.0,4.2,LEO Ground Station
PE2BZ-403,,,52.0,4.2,LEO Ground Station
KC4LE 2m/70cm Open Stub J-Pole,,,33.323,-86.888,LEO Ground Station
VE2DSK-VHF-UHF,,,45.651,-73.564,LEO Ground Station
Archenhold,,,52.487,13.475,LEO Ground Station
Not Quite ESL,,,38.58,-90.0,LEO Ground Station
KF5IDY RTL-SDR Egg 70cm,,,32.95,-96.84,LEO Ground Station
"KK6NOW - Palm Desert, CA, US",,,33.718908,-116.39262,LEO Ground Station
Malyi UHF,,,48.017854,20.797475,LEO Ground Station
BMGP-01,,,48.686,9.806,LEO Ground Station
PE1RXU,,,51.594,4.923,LEO Ground Station
TA2NMU (QFH-South),,,39.949,32.901,LEO Ground Station
station-01,,,17.983333,-92.925,LEO Ground Station
DK0SB-VHF-Omni,,,51.427722,7.194128,LEO Ground Station
DK0SB-UHF-Omni,,,51.427722,7.194128,LEO Ground Station
MAUSyagi,,,42.28,-73.32,LEO Ground Station
N5ZKK-VHF-Helical,,,30.05973,-99.15139,LEO Ground Station
F4IAI - Moussac,,,43.981466,4.223846,LEO Ground Station
PE0SAT-31,,,51.721268,5.029,LEO Ground Station
DD1US/1 VHF-Omni,,,48.1188,7.8616,LEO Ground Station
DD1US/2 VHF/UHF/L-Omni,,,49.2233,9.3814,LEO Ground Station
EU1AEM,,,53.907,27.17,LEO Ground Station
ok1phu-2,,,49.775,16.067,LEO Ground Station
CSPDHQ,,,45.239,19.809,LEO Ground Station
BEEGND-4,,,52.512,13.327,LEO Ground Station
LW2DYB,,,-38.28,-57.854,LEO Ground Station
SA2KNG Omni UHF/VHF,,,63.854,20.208,LEO Ground Station
HB9FXX S-Band,,,46.64,6.636,LEO Ground Station
SA2KNG Experimental,,,63.854,20.208,LEO Ground Station
VK4JBE-UHF,,,-27.492,153.069,LEO Ground Station
VK4JBE-VHF,,,-27.492,153.069,LEO Ground Station
Canopus80,,,29.575077,-95.114356,LEO Ground Station
SP7THR-UHF,,,50.567,22.074,LEO Ground Station
Drachten,,,53.1094,6.1076,LEO Ground Station
EU1AEM,,,53.91,27.09,LEO Ground Station
Lebakaas Ground Station,,,48.2662,11.6683,LEO Ground Station
MAUSyagi-AK,,,64.7941,-147.536,LEO Ground Station
KU4YJ,,,34.71426,-86.75529,LEO Ground Station
JH4XSY-pi,,,36.0697,140.2072,LEO Ground Station
YMCF,,,-27.33,151.51,LEO Ground Station
M0GLU,,,51.099,-0.216,LEO Ground Station
9A3XK,,,45.316003,18.409289,LEO Ground Station
MAUSyagi,,,40.009,-105.248,LEO Ground Station
KK6OAK Oakwood School,,,37.103,-121.634,LEO Ground Station
Tokorozawa VUHF-Discone,,,35.797,139.483,LEO Ground Station
PE0SAT-21,,,51.721268,5.029968,LEO Ground Station
DIYSATELLITE,,,-34.747,-58.333,LEO Ground Station
dk3wn_70cm,,,49.7318,8.9548,LEO Ground Station
dk3wn_2m,,,49.7318,8.9548,LEO Ground Station
LU6APA - GAP Station I,,,-34.60722,-58.3909,LEO Ground Station
EU1AEM,,,53.902,27.047,LEO Ground Station
HB9FXX Komodo Dome,,,52.30446825839176,19.16926930632765,LEO Ground Station
Mainz435,,,49.977285,8.231502,LEO Ground Station
EIRSAT-1 GS - UCD Physics,,,53.314,-6.235,LEO Ground Station
DG9MA,,,48.363,10.312,LEO Ground Station
Rhodes College,,,35.118,-89.971,LEO Ground Station
Piszkesteto VHF,,,47.9183,19.8933,LEO Ground Station
YC7OIZ,,,-2.253,113.932,LEO Ground Station
GAO UHF,,,47.25833,16.60462,LEO Ground Station
N5ZKK-UHF-HELICAL,,,30.05973,-99.15139,LEO Ground Station
MTL (VHF),,,45.5,-73.6,LEO Ground Station
N1ESK-Loudon,,,35.694,-84.27,LEO Ground Station
AC Schönforst,,,50.7636,6.12531,LEO Ground Station
Um Alaish 4b,,,29.11,48.124,LEO Ground Station
Eddyosp-VHF,,,19.31,-99.149,LEO Ground Station
S51BW-2,,,46.5224,14.8461,LEO Ground Station
KC3QNJ,,,38.308,-76.474,LEO Ground Station
K2PI,,,38.697,-77.805,LEO Ground Station
9V1KG,,,1.338,103.934,LEO Ground Station
F6FKQ-UHF,,,48.4661,1.448,LEO Ground Station
VE9EX-1,,,45.88201,-66.76792,LEO Ground Station
N6MTS UHF,,,35.122,-120.57,LEO Ground Station
MXL-LowCostGS,,,42.29322,-83.71073,LEO Ground Station
SM0TGU - L and S-Band,,,59.453,17.89,LEO Ground Station
I2OIM,,,45.316,8.84,LEO Ground Station
hb9mfl_2m-Band,,,47.212456,7.621808,LEO Ground Station
WH6GVF UHF,,,19.415,-154.892,LEO Ground Station
ps_ground_station1,,,39.5856507,32.6616518,LEO Ground Station
UX5UL,,,50.359,30.388,LEO Ground Station
VU2JEK_Nitin,,,13.1458,77.5417,LEO Ground Station
BV2DQ /WJ2I Beam Taiwan,,,24.894,121.274,LEO Ground Station
M0JFP Staines Space and weather UHF,,,51.438,-0.458,LEO Ground Station
Jim UHF,,,33.797628,-79.159123,LEO Ground Station
LSTN Station at Gates County Public Library,,,36.408,-76.756,LEO Ground Station
Drachten S-band,,,53.1094,6.1076,LEO Ground Station
WH6GVF VHF,,,19.415,-154.892,LEO Ground Station
UNB Earth Station,,,45.94994,-66.64249,LEO Ground Station
GUMUSH Ground Station,,,40.91431,29.30108,LEO Ground Station
2E0sud-pi1,,,53.642,-2.646,LEO Ground Station
HS-MarsOnEarthProject-1,,,39.844,32.779,LEO Ground Station
Mahanakorn Ground Station,,,13.8422302,100.8554904,LEO Ground Station
Nekosat (QFH UHF),,,38.353,140.822,LEO Ground Station
N1JFU,,,42.039621,-71.063597,LEO Ground Station
DEX-ONE,,,50.469,5.718,LEO Ground Station
OK2KVL,,,48.987357,17.178515,LEO Ground Station
RA3PPY,,,55.431,37.519,LEO Ground Station
Valpo WIRED Lab SatNOGS-Kit-1,,,41.436,-87.038,LEO Ground Station
EI4FNB UHF Omni,,,52.74,-6.89,LEO Ground Station
TA2NMU #3 (Turnstile),,,41.0053,39.2978,LEO Ground Station
test999,,,-20.74,116.807,LEO Ground Station
UVSD-SatNOGS,,,48.4612,-123.31053,LEO Ground Station
OH2UDS- HS-MarsOnEarthProject-4-Finland,,,60.146,24.708,LEO Ground Station
SpaceTeam TMW,,,48.191,16.318,LEO Ground Station
N0NQD-SatScanner UHF,,,45.289,-93.747,LEO Ground Station
StreetDirt VHF,,,52.2179,5.1645,LEO Ground Station
VK4JBE-TESTING,,,-27.492,153.069,LEO Ground Station
NuSpace SN1,,,1.299,103.771,LEO Ground Station
NuSpace SN2,,,1.299,103.771,LEO Ground Station
ea6tc,,,39.5585,2.7804,LEO Ground Station
ha7dcd and decent.org,,,47.51747,19.53215,LEO Ground Station
PAULO PV8DX,,,2.811185,-60.680964,LEO Ground Station
StreetDirt L-Band,,,52.21,5.16,LEO Ground Station
PE2BZ-403 MHz-at-work,,,52.0,4.2,LEO Ground Station
PARSEC 2,,,51.4962,11.9706,LEO Ground Station
GYM-PU,,,49.120108,18.325704,LEO Ground Station
YL3CT,,,56.857,24.709,LEO Ground Station
EIRSAT-1 GS - Dún Chaoin,,,52.132,-10.447,LEO Ground Station
JMUW - Raumfahrttechnik - UHF,,,49.782,9.973,LEO Ground Station
JMUW - Raumfahrttechnik - VHF,,,49.782,9.973,LEO Ground Station
WA6RSV,,,34.14,-117.87,LEO Ground Station
MacPherson_RSS,,,41.8458,-72.4711,LEO Ground Station
N6MTS VHF,,,35.122,-120.57,LEO Ground Station
ZL2CWA Hamilton NZ,,,-37.734,175.23,LEO Ground Station
StreetDirt S-Band,,,52.2179,5.1645,LEO Ground Station
HB9MFL-S-Band,,,47.212456,7.621808,LEO Ground Station
HA5MI,,,47.508395,18.989147,LEO Ground Station
StreetDirt UHF,,,52.21,5.16,LEO Ground Station
ExpoSat-VHF,,,43.527,-5.665,LEO Ground Station
EA3GKP Barcelona,,,41.378231,2.125512,LEO Ground Station
PU4ELT,,,-19.861,-44.619,LEO Ground Station
StreetDirt S-band parabolic,,,52.2179,5.1645,LEO Ground Station
CCU Ground Station,,,33.796348,-79.011117,LEO Ground Station
sat-rx,,,51.904,-8.664,LEO Ground Station
EuroSpaceHub-UCM,,,39.569,-3.186,LEO Ground Station
Weißblaues Ufer,,,48.498,11.938,LEO Ground Station
ka6akh-ground-station,,,38.8246,-77.14037,LEO Ground Station
Sat-mem,,,40.580985,22.958911,LEO Ground Station
ZS6ETA,,,-25.8485,28.2124,LEO Ground Station
CatSat ARB,,,32.237099,-110.951012,LEO Ground Station
SPL-Ta Hwa,,,24.88,121.17,LEO Ground Station
LA4TSA-400MHz,,,59.957,10.762,LEO Ground Station
SOBE01,,,49.249358,16.616025,LEO Ground Station
DF0OHM Turnstile VHF (Test UHF),,,49.45262,11.09435,LEO Ground Station
Gooseberry_Hill,,,-31.951,116.04,LEO Ground Station
rommac uhf qfh 2,,,32.2885,-111.868,LEO Ground Station
EagleSat,,,34.615,-112.45,LEO Ground Station
SatNOGS_Pecna_1_UHF,,,52.18,16.801,LEO Ground Station
W6MSU VHF,,,38.054,-121.361,LEO Ground Station
VZLU-PRG VHF Omni,,,50.132431,14.515841,LEO Ground Station
DP0GVN-UHF,,,-70.658667,-8.284667,LEO Ground Station
DK6RS,,,48.98756,12.05716,LEO Ground Station
ADHITO GS / YG4SLJ,,,-5.36,105.3,LEO Ground Station
GS ChNord UHF,,,50.7060925,2.8352674531249953,LEO Ground Station
SP2ZIE,,,54.523845,18.513308,LEO Ground Station
VK2RZ,,,-33.729,151.264,LEO Ground Station
YL3CT-1,,,56.857,24.709,LEO Ground Station
Facultad de Ingeniería 1 y 47 - UNLP,,,-34.9072,-57.945,LEO Ground Station
(M7GQV) Crystal Radio Receiver Earth Station,,,51.5857,-0.3543,LEO Ground Station
UT4UYF/M,,,50.559,29.915,LEO Ground Station
YL3CT-2,,,56.857,24.709,LEO Ground Station
Skyscan-discone-25-2000MHZ,,,43.667,1.196,LEO Ground Station
Satnogs1,,,55.7698,37.691,LEO Ground Station
CSUM - F4KJX,,,43.63648,3.84311,LEO Ground Station
SPUTNIX-VHF/UHF-Magadan,,,59.589261,150.832095,LEO Ground Station
Damanhur_Sentinel,,,31.029893,30.456294,LEO Ground Station
dl0odx_70cm,,,49.65,9.064,LEO Ground Station
dl0odx_2m,,,49.65,9.064,LEO Ground Station
Eldrún,,,49.2244,10.7285,LEO Ground Station
Sternwarte Sonneberg Turnstile VHF (Test UHF),,,50.37722,11.18972,LEO Ground Station
Hawley Tx,,,32.657,-99.844,LEO Ground Station
Sofia SAT Club - LZ1GNU,,,42.64972,23.36055,LEO Ground Station
Section III Observer (Directional South),,,28.54195,-81.15899,LEO Ground Station
Plyachka,,,42.48304,23.445813,LEO Ground Station
M0JFP Staines Space and weather VHF,,,51.438,-0.458,LEO Ground Station
NuSpace SN3,,,1.299,103.771,LEO Ground Station
R1CDM_UHF,,,60.104,32.292,LEO Ground Station
estima5633,,,35.011,137.077,LEO Ground Station
DEX-X,,,50.469,5.718,LEO Ground Station
96262,,,48.437,19.129,LEO Ground Station
YC0AVJ,,,-6.5936,106.772,LEO Ground Station
SM0IFP VHF,,,59.22,18.179,LEO Ground Station
IAR-GS,,,-34.8663,-58.139,LEO Ground Station
NUUGS2,,,41.351683,69.204427,LEO Ground Station
Volgo,,,50.428,30.492,LEO Ground Station
